N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.7217543859649123,0.945790670970111,0.7247971223162816,0.9338895727898601,0.9488766489765651,0.9339874944487188
Model2,500,2,1,0.7170877192982457,0.7383650099554614,0.7168980996100807,0.9317922764783659,0.9594402399913668,0.931545882409488
Model3,500,3,1,0.7187719298245614,0.7151743583439346,0.7121245049235896,0.9339807595860119,0.9293060325902582,0.9253430169298456
Model4,500,1,2,0.8166315789473684,0.956485050028173,0.8526462425249521,0.9337527925956322,0.9718745811865872,0.9346308387098397
Model5,500,2,2,0.9452631578947368,0.943516235059424,0.9324289806858286,0.936078055897506,0.9704994588042024,0.9389758154270442
Model6,500,3,2,0.9110175438596492,0.9327238192137153,0.9172179641646921,0.9378561984224685,0.938351665158511,0.9327970522317114
Model7,800,1,2,0.9402807017543859,0.934648588578045,0.9296833523821453,0.935075001139835,0.9608906060895989,0.9388876017556301
Model8,800,2,2,0.948280701754386,0.9437239658281537,0.9317169237462314,0.935120594537911,0.9758731125862846,0.9389236528156832
Model9,800,3,2,0.9418947368421052,0.9284551927348366,0.9302734842568776,0.9353485615282907,0.9467173900501142,0.9354220227084762
